user_id;total_orders;total_revenue
648bc47a8e878d0949614b28;4216;0
631e4709049b5bbe3145b0e1;3255;211210972
631e2964df5e0b1702afd3cf;2163;142350514
631e4e7de5e161518eff4548;2038;0
631e3be3f6f16759f9da3800;1703;20268117
631e44f2049b5bbe3145a1d7;1283;109660201
631e49b9049b5bbe3145bdf9;1269;127689639
631e4554049b5bbe3145a436;1268;94688466
63202b6e36adb3394d4f8369;1259;56278646
631e462f049b5bbe3145aaf2;1243;130246292
631e3cb4f6f16759f9da40bb;1230;84057804
631e2494df5e0b1702afab42;1187;129940685
64df133ad4d36866124f0552;1171;244918293
631e4783049b5bbe3145b385;1137;36370274
631e5dfe516d7c2adcebc7f5;1048;321115302
631e660d516d7c2adcec0cf1;1007;155867371
632030a036adb3394d4fbc1f;970;969440
631e453d049b5bbe3145a3a8;961;88592086
631e285fdf5e0b1702afc9d1;945;135718003
631e5cb1516d7c2adcebba40;939;21464964
631e4f93049b5bbe3145e7c3;878;4023833
631e464b049b5bbe3145ab8c;864;143039750
631e3dd6f6f16759f9da4ea3;838;132908612
6320355d36adb3394d4fe424;833;21912086
63201e2b36adb3394d4ea024;810;29766659
631e460de5e161518efd0bb3;781;0
63201fbd36adb3394d4ebb70;739;51365903
63326a4e68761518dc2e5762;727;524080
631e71ff516d7c2adcec8f1e;720;21527693
631e2ee7df5e0b1702affa91;693;119622397
631e3ea6f6f16759f9da573f;681;65237279
63201ea336adb3394d4eb08e;673;11229524
63202f3736adb3394d4fae00;673;144431520
631e095bdf5e0b1702af67ea;670;268643623
631e366cf6f16759f9da26ac;639;150220060
631e4cc6049b5bbe3145d60f;625;118602542
631e649d516d7c2adcebfc56;617;176119189
631e3cc5f6f16759f9da41b6;596;8993285
631e6415516d7c2adcebf623;591;123068359
631e2581df5e0b1702afb273;585;50022194
631e6442516d7c2adcebf802;584;35744
63203d8f36adb3394d50190a;543;15825184
631e5e4b516d7c2adcebc941;510;6037617
631e5d60516d7c2adcebc0fb;505;5831859
631e4117f6f16759f9da65fb;491;47402986
631e4686049b5bbe3145ad5f;483;16230389
631e3531f6f16759f9da1b7c;479;47686200
631e441a64d4c49f612701ff;476;265357944
631ffcd08954e00ea620cce4;467;26824767
63202f3936adb3394d4fae13;461;41767014
631e3f9af6f16759f9da5bf2;457;42046033
631e224ddf5e0b1702af9c29;457;2062372
632032ec36adb3394d4fd0cd;450;1513034
631e4efc049b5bbe3145e34f;443;8227613
64a2ab9ae8151b4453ba4e4e;436;0
631dfcf9df5e0b1702af5aba;431;44951952
631e3457f6f16759f9da1331;416;12383366
631e231cdf5e0b1702afa020;413;154070029
631e2806df5e0b1702afc6b2;408;78018522
631e28efdf5e0b1702afcfb1;401;16557335
631e5c8b516d7c2adcebb8d5;395;153677285
631e61b7516d7c2adcebdbfa;390;5756910
63202c3436adb3394d4f8cd2;388;2843097
631e50ee049b5bbe3145f578;384;26304665
631e4731049b5bbe3145b1c2;383;21960934
632042d736adb3394d50374c;381;105074887
631e3e7df6f16759f9da5678;375;23989380
631e2043df5e0b1702af8c38;370;12771398
631e4684049b5bbe3145ad49;359;72290943
631e5c32516d7c2adcebb54c;359;10889942
631e3d7ff6f16759f9da4a3b;353;6317253
631e6667516d7c2adcec0fd2;344;4161688
649fb85a37bb2334f4e62f14;344;0
631e2393df5e0b1702afa54f;343;32369076
632021eb36adb3394d4ed413;340;348128
632024b836adb3394d4f378d;336;5124574
631e4029f6f16759f9da60d2;333;8877749
631e6569516d7c2adcec05b2;331;14382707
631e4612049b5bbe3145a9a4;330;120999872
631e3cbff6f16759f9da417f;330;20420541
6320490336adb3394d50719f;326;157385648
6320301536adb3394d4fb71c;324;5446362
631e31f7f6f16759f9d9f82b;324;480203
632045ff36adb3394d505684;324;15758523
631e3de1f6f16759f9da4f0f;323;4806227
631e5edd516d7c2adcebcb3b;320;12848732
631e5b1b516d7c2adcebac23;318;69946287
631e3e7ff6f16759f9da5687;318;930033
6320426a36adb3394d5031f3;313;797901
631e4a23049b5bbe3145c0dc;307;2222538
631e4632049b5bbe3145aafd;306;20689005
6320451436adb3394d504b93;304;8535463
631e450d049b5bbe3145a281;304;130973870
631e4eef049b5bbe3145e2b6;303;11406082
632173b0384c5a7a2d0bb06f;301;153413536
631e2663df5e0b1702afbab6;299;10801328
6320297036adb3394d4f6918;297;43022004
631e2233df5e0b1702af9bb7;296;569986
631e21e7df5e0b1702af99c3;295;14756699
631e6240516d7c2adcebe1a9;294;7648761
631e4d9c049b5bbe3145daea;293;6044537
631e483c049b5bbe3145b6d1;289;2298553
632024c936adb3394d4f3851;289;3786436
63203e2a36adb3394d501be7;289;6030802
631e099adf5e0b1702af6837;285;120551546
63e35c1e9ca4f1ecceb648e1;285;42069205
63201e7f36adb3394d4eaeed;282;17024551
631e0f22df5e0b1702af6e47;282;26142214
631e203bdf5e0b1702af8be5;281;20273641
631e62a7516d7c2adcebe61a;280;215726
633bb53644c90f0c1f449891;277;0
631e4ef7049b5bbe3145e2ff;275;12848622
631e4582049b5bbe3145a52e;275;20522171
631e3eacf6f16759f9da5753;274;7418494
631e3f5bf6f16759f9da5a51;272;3511529
631dffeddf5e0b1702af5dd2;272;93966672
6320298136adb3394d4f69e0;270;44337769
631e470c049b5bbe3145b0ee;269;212393772
631e2762df5e0b1702afc1a4;269;5452273
631e4f0c049b5bbe3145e3e8;268;17280803
631e1014df5e0b1702af6f37;268;5546541
64a4c52b384650128df0b571;268;0
6320312736adb3394d4fc15b;268;1921562
631e2e29df5e0b1702aff396;267;8404838
63202ffd36adb3394d4fb632;266;1774962
63202c1436adb3394d4f8b6e;266;10704573
632027c536adb3394d4f5878;265;13378787
63202f3b36adb3394d4fae36;265;20883397
631e28d9df5e0b1702afcec3;265;45536483
631e32d8f6f16759f9da01ed;264;761060
64a4cbc325b347c105a0940a;261;0
631e5df5516d7c2adcebc79d;260;7335685
631e48ec049b5bbe3145b9f9;260;135293375
631e4a07049b5bbe3145bfaa;259;114028860
64a4bf1b384650128df006c9;259;0
63d0e4f44d99757644be6c68;257;0
6320299e36adb3394d4f6b43;256;42935970
631e4dea049b5bbe3145dbea;255;28797909
63201daa36adb3394d4e9b09;254;6879718
6320212c36adb3394d4ecc99;254;17433379
631e0b16df5e0b1702af6ace;252;97888558
63201e9436adb3394d4eb01e;251;4813427
631e4acd049b5bbe3145c6e8;250;11075370
632024d336adb3394d4f38c6;248;3601909
63201eaf36adb3394d4eb0d3;246;6630354
631e63ca516d7c2adcebf2e5;245;28627130
64a582eced9849aa1b2bd9e8;243;0
631e3dfbf6f16759f9da5030;243;17957764
631e4a0f049b5bbe3145bffd;243;98144752
631e09b6df5e0b1702af6958;242;84735327
631e485c049b5bbe3145b763;241;10659410
64a5178f6aa9e7ffed9fe834;241;0
64a4eab4384650128df99702;241;0
631e3cd8f6f16759f9da429e;241;46854123
631e2125df5e0b1702af933d;240;23460767
632024d936adb3394d4f38f6;239;7578568
64a4be2525b347c1059eb3ee;239;0
64a4f1f96aa9e7ffed9ae41b;238;0
631e4646049b5bbe3145ab81;237;15763768
648c1171b8687428cb376bef;237;0
63203ea236adb3394d501d3a;236;2390494
631e2910df5e0b1702afd0e1;234;9240360
63205a6636adb3394d510a27;233;24727653
632034df36adb3394d4fe04f;231;2695802
63202a6336adb3394d4f748d;230;1261413
64a4dc05384650128df5bdf6;230;0
631e5d77516d7c2adcebc204;228;2824701
631e65d0516d7c2adcec0a14;228;1217675
631e2954df5e0b1702afd371;225;1743649
631e2635df5e0b1702afb8db;223;3237886
64a51beb6aa9e7ffeda0db51;222;0
6355f48609aa94d17ab71510;222;32316574
631e2f37df5e0b1702affd8e;221;88611523
631e62b9516d7c2adcebe6f8;220;63366105
6359e77cff59a7e3cf4dbdae;218;126146606
631e5cb5516d7c2adcebba65;217;3296204
631e290adf5e0b1702afd0c7;217;14175677
6320321a36adb3394d4fca2b;216;787609
631e6610516d7c2adcec0d0d;215;44828545
632044bd36adb3394d50491c;213;39897689
63202e4836adb3394d4fa227;213;97297320
631e3e6ef6f16759f9da55d8;212;74591838
631e325ef6f16759f9d9fc70;210;10140354
631e359ef6f16759f9da1fb2;209;10281212
650bbcf94f6633a442a8570d;209;121686170
631e71d4516d7c2adcec8d38;209;28791337
631e40aff6f16759f9da62a3;208;64516285
631e4ab7049b5bbe3145c61a;207;29494034
631e3e53f6f16759f9da5478;207;2518667
632039e436adb3394d4ff6d7;206;23433335
632022aa36adb3394d4edaad;206;1964952
6320452636adb3394d504c89;206;89678227
6320313f36adb3394d4fc29b;206;638929
631e2b12df5e0b1702afe1a5;205;33398483
63203f0636adb3394d501e7b;204;7377775
631e2746df5e0b1702afc0eb;204;49964517
6482fabac573e5a5b2113741;203;3567189
63205aff36adb3394d510f46;203;5891269
631e2014df5e0b1702af8a49;202;3834441
631e4e44049b5bbe3145ddb1;201;5299451
636b57e56c95b5161f37fa48;201;0
632041eb36adb3394d502c2a;201;6765574
631e4105f6f16759f9da656a;200;15476274
632034fb36adb3394d4fe14a;199;811535
631e2952df5e0b1702afd362;199;17408759
631e40caf6f16759f9da6341;199;72928063
631e3ec3f6f16759f9da57df;199;81170742
631e4f4c049b5bbe3145e587;198;5979627
631e64ee516d7c2adcebffde;197;48354860
632032fa36adb3394d4fd1b2;196;20291865
631e4e6d049b5bbe3145de48;195;3395862
632034bf36adb3394d4fdf2e;195;2203067
631e4db5049b5bbe3145db84;194;6772071
632026c936adb3394d4f4e20;194;82096817
631e45e5049b5bbe3145a853;193;20338302
63e32c67d87930ed7db75b9d;193;999361
63d0e9174d99757644bf5555;193;0
631e4f0e049b5bbe3145e3f5;192;19009719
631e6628516d7c2adcec0e05;191;3284490
6320564e36adb3394d50ec7e;191;11785747
6482fc82c573e5a5b2114d0b;190;3367211
63d0e3164d99757644bdf296;190;0
6320350936adb3394d4fe1bf;190;1024676
631e5d55516d7c2adcebc073;190;4077961
631e6200516d7c2adcebdf20;189;5491084
631e21afdf5e0b1702af9749;189;31002603
631e6261516d7c2adcebe337;189;10631294
63204d8e36adb3394d509f0e;188;1950237
632020fd36adb3394d4eca43;187;24113127
64a4cc2725b347c105a0aea7;187;0
631e4ea5049b5bbe3145e02d;186;68043133
631e45b5049b5bbe3145a6c4;186;80014395
63202a4936adb3394d4f7388;186;55332052
648a94f77b04d9c60ec27cad;185;4979685
6320678136adb3394d518d41;185;10542291
6320445e36adb3394d504598;185;50614604
63d0e800e25a8ba7ef4ad598;184;0
632031c736adb3394d4fc6d5;184;5688266
631e3e47f6f16759f9da53fd;184;6245746
631e2644df5e0b1702afb9a6;182;2457358
631e4a0a049b5bbe3145bfc9;181;50143162
631e288adf5e0b1702afcb68;181;5006065
64a6228e9496f6e906faaaea;180;0
63201f6336adb3394d4eb872;176;6186031
631e4ca9049b5bbe3145d543;176;44261324
63202cc236adb3394d4f948a;175;2939249
64a620aa9496f6e906fa61a1;175;0
63202bff36adb3394d4f8a86;175;12418014
631e498e049b5bbe3145bd23;174;11565123
63203e5936adb3394d501c90;174;6543534
631e4e4c049b5bbe3145ddcf;174;5509030
64a67e1171436c7f79ab7f1d;173;79085119
631e5efd516d7c2adcebcb89;173;11461700
6320296536adb3394d4f68a3;173;40726472
631e4e14049b5bbe3145dcdd;172;2674794
63205ad936adb3394d510dcf;172;41146000
631e3271f6f16759f9d9fd6a;172;27248866
6320296a36adb3394d4f68ce;172;23965644
631e4f73049b5bbe3145e688;170;11024626
632020f736adb3394d4ec9f2;169;6862801
631e65cd516d7c2adcec09f3;168;12713607
631e3564f6f16759f9da1d5b;168;8304725
631e2681df5e0b1702afbb47;167;6257725
631e3fb5f6f16759f9da5d5e;167;158686451
631e4a65049b5bbe3145c334;166;5667117
631e5e67516d7c2adcebc9b5;166;6405032
648a98007b04d9c60ec3099d;165;2192748
631e411bf6f16759f9da660b;165;33436156
631e231edf5e0b1702afa03a;165;66925933
631e6538516d7c2adcec0421;165;4305217
631e3ce7f6f16759f9da433d;164;4496163
631e45f5049b5bbe3145a8ba;163;44277090
63205ae236adb3394d510e24;163;26327094
631e2ab9df5e0b1702afddc2;163;6447222
631e2219df5e0b1702af9b78;162;623217
631e56f8049b5bbe31462d88;162;13553692
63203e1536adb3394d501bc6;162;5876381
6320598536adb3394d5104b2;161;15991930
631e404df6f16759f9da6143;161;7151786
631e2855df5e0b1702afc991;161;54185938
632031da36adb3394d4fc7ac;161;135508
631e3c80f6f16759f9da3e37;160;22890013
631e44b8049b5bbe3145a01b;160;57774365
631e3343f6f16759f9da06e3;158;4046854
63202fe936adb3394d4fb56e;157;3042219
631e3d3cf6f16759f9da46e0;156;77195158
631e4580049b5bbe3145a51f;156;20408536
631e5330049b5bbe31460d3e;156;2973289
631e2055df5e0b1702af8cfd;156;3127025
631e40f3f6f16759f9da6512;156;17933207
631e3f97f6f16759f9da5bd3;155;5325931
632030a236adb3394d4fbc32;154;2113915
631e5bb1516d7c2adcebb2df;154;13182103
631e3fc4f6f16759f9da5e7c;154;10313801
631e49ed049b5bbe3145bee3;154;83824129
631e3cacf6f16759f9da404f;154;3919241
